product_id,name,category,company,matched_intents,price,rating,num_reviews
P78,Tactical Flashlight,Kitchen,SnockCo,"outdoor survival gear, EDC gear",37.11,3.7,475
P79,Leather Wallet,Outdoor Gear,UrbanTrek,running accessories,78.92,4.7,268
P80,Key Organizer,Kitchen,TechSeed,"travel container, EDC gear",60.85,5.0,368
P81,Kitchen Scissors,Fitness,TechSeed,"minimalist gifts, EDC gear",18.42,3.1,263
P82,Kitchen Scissors,Travel Gear,GearNest,"EDC gear, emergency gear",35.28,3.9,127
P83,EDC Tool Kit,Accessories,TechSeed,"budget tech, luxury gifts",36.78,3.7,630
P84,EDC Tool Kit,Fitness,GearNest,"minimalist gifts, EDC gear",97.0,3.2,36
P85,Smartwatch,Tech,Minimade,running accessories,95.03,3.4,616
P86,Kitchen Scissors,Travel Gear,TechSeed,budget tech,66.03,3.2,589
P87,Travel Canister,Outdoor Gear,Minimade,"emergency gear, outdoor survival gear",71.23,3.1,673
P88,Leather Wallet,Travel Gear,Minimade,running accessories,23.97,4.9,660
P89,Headphones,Fitness,Minimade,"outdoor survival gear, EDC gear",29.97,4.0,676
P90,Smartwatch,Tech,Minimade,"emergency gear, outdoor survival gear",54.51,4.7,616
P91,Smartwatch,Outdoor Gear,SnockCo,minimalist kitchen tools,38.71,3.9,778
P92,Headphones,Tech,TechSeed,"EDC gear, emergency gear",47.21,3.1,881
P93,Leather Wallet,Accessories,GearNest,"budget tech, luxury gifts",45.16,3.5,296
P94,EDC Tool Kit,Fitness,FlashZone,budget tech,15.86,4.9,97
P95,Kitchen Scissors,Fitness,Minimade,running accessories,62.19,3.5,497
P96,Headphones,Kitchen,SnockCo,"travel container, EDC gear",40.01,3.8,259
P97,Smartwatch,Fitness,UrbanTrek,"EDC gear, emergency gear",55.23,4.1,445
P98,Mini Flashlight,Outdoor Gear,TechSeed,"luxury gifts, minimalist gifts",53.57,3.6,246
P99,Key Organizer,Fitness,UrbanTrek,minimalist kitchen tools,25.16,4.1,790
P100,Tactical Flashlight,Accessories,TechSeed,minimalist kitchen tools,56.16,4.4,788
